Flash Card Data

============================================
The process:
1. English word followed by a comma
2. hiragana word; then carriage return
3. upload into Quzlet
4. update each item and add (kanji) to defn side.
5. Back-record the kanji to the this CSV data sheet
6. Save all the things
============================================
---> Kanji Set 1.x
一,いち
二,に
三,さん
四,よん
五,ご
六,ろく
七,なな
八,はち
九,きゅう
十,じゅう
百,ひゃく
千,せん
万,まん
寸,すん
尺,しゃく
日,ひ sun
月,つき moon
火,ひ fire
水,みず water
木,き tree
金,かね money
土,つち soil
山,やま mountain
川,かわ river
田,た rice paddy
石,いし stone
穴,あな hole
雨,あめ rain
風,かぜ wind
音,おと sound
夕,ゆう evening
方,かた how to
米,こめ rice
竹,たけ bamboo
豆,まめ bean
上,うえ top, above
中,なか inside
下,した below
右,みぎ right
左,ひだり left
本,ほん book
頁,ページ page

一つ,ひとつ
二つ,ふたつ
三つ,みっつ
四つ,よっつ
五つ,いつつ
六つ,むっつ
七つ,ななつ
八つ,やっつ
九つ,ここのつ
一月,いちがつ
二月,にがつ
三月,さんがつ
四月,よんがつ
五月,ごがつ
六月,ろくがつ
七月,なながつ
八月,はちがつ
九月,くがつ
十月,じゅうがつ
十一月,じゅういちがつ
十二月,じゅうにがつ
日曜日,にちようび
月曜日,げつようび
火曜日,かようび
水曜日,すいようび
木曜日,もくようび
金曜日,きにょうび
土曜日,どようび
方向,ほうこ direction
本,もと base


============================================
---> Kanji Set 2.2 - P45 English - Hiragana
morning,あさ (朝)
breakfast,ちょうしょく（朝食）
noon,ひる（昼）
lunch,ちゅうしょく（昼食）
dinner,ばんごはん（晩ごはん）
night,よる (夜)
tonight,こんや（今夜）
age,とし (年)
next year,らいねん（来年）
now,いま (今)
today,きょう（今日）
this month,こんげつ（今月）
this year,ことし（今年）
bright,あかるい（明るい）
tomorrow,あした（明日）
civilization,ぶんめい（文明）
yesterday,きのう（昨日）
last year,さくねん（昨年）
to leave,さる（去る）
last year,きょねん（去年）
past,かこ（過去）
everyday,まいにち (毎日)
last week,せんしゅう（先週）
to understand,わかる (分かる)
to divide,わける（分ける）
5 minutes,ごふん（五分）
6 minutes,ろっぷん (六分)
a.m.,ごぜん（午前）
before/front,まえ (前)
before/after/front/rear/back/forth,ぜんご （前後）
after/later,あと （後）
behind/back,うしろ (後ろ)
afternoon,ごご (午後)
the last half,こうはん（後半）
half/middle,なかば（半ば）
half past five,ごじはん（五時半）


---> Kanji Set 2.2 - P45 Hiragana - Kanji
あさ,朝 (morning)
ちょうしょく,朝食 (breakfast)
ひる,昼 (noon)
ちゅうしょく,昼食 (lunch)
ばんごはん,晩ごはん (dinner)
よる,夜 (night)
こんや,今夜 (tonight)
とし,年 (age)
らいねん,来年 (next year)
いま,今 (now)
きょう,今日 (today)
こんげつ,今月 (this month)
ことし,今年 (this year)
あかるい,明るい (bright)
あした,明日 (tomorrow)
ぶんめい,文明 (civilization)
きのう,昨日 (yesterday)
さくねん,昨年 (last year)
さる,去る (to leave)
きょねん,去年 (last year)
かこ,過去 (past)
まいにち,毎日 (everyday)
せんしゅう,先週 (last week)
わかる,分かる (to understand)
わける,分ける (to divide)
ごふん,五分 (5 minutes)
ろっぷん,六分 (6 minutes)
ごぜん,午前 (a.m.)
まえ,前 (before/front)
ぜんご,前後 (before/after/front/rear/back/forth)
あと,後 (after/later)
うしろ,後ろ (behind/back)
ごご,午後 (afternoon)
こうはん,後半 (the last half)
なか,半ば (half/middle)
ごじはん,五時半 (half past five)


---> Kanji Set 2.2 - P45 Kanji - Hiragana
朝,あさ (morning)
朝食,ちょうしょく (breakfast)
昼,ひる (noon)
昼食,ちゅうしょく (lunch)
晩ごはん,ばんごはん (dinner)
夜,よる (night)
今夜,こんや (tonight)
年,とし (age)
来年,らいねん (next year)
今,いま (now)
今日,きょう (today)
今月,こんげつ (this month)
今年,ことし (this year)
明るい,あかるい (bright)
明日,あした (tomorrow)
文明,ぶんめい (civilization)
昨日,きのう (yesterday)
昨年,さくねん (last year)
去る,さる (to leave)
去年,きょねん (last year)
過去,かこ (past)
毎日,まいにち (everyday)
先週,せんしゅう (last week)
分かる,わかる (to understand)
分ける,わける (to divide)
五分,ごふん (5 minutes)
六分,ろっぷん (6 minutes)
午前,ごぜん (a.m.)
前,まえ (before/front)
前後,ぜんご (before/after/front/rear/back/forth)
後,あと (after/later)
後ろ,うしろ (behind/back)
午後,ごご (afternoon)
後半,こうはん (the last half)
半ば,なか (half/middle)
五時半,ごじはん (half past five)


============================================
---> Kanji Set 2.3 - P47 english - hiragana
to drink,のむ　（飲む）
restaurant,いんしょくてん　（飲食店）
to wear,きる　（着る）
to arrive,つく　（着く）
to arrive,とうちゃく　（到着する）
to buy,かう　（買う）
to buy and sell,ばいばい　（売買する）
to look,みる　（見る）
to visit/tour,けんがく　（見学する）
to hear/to listen,聞く　（聞く）
newspaper,しんぶん　（新聞）
to read,よむ　（読む）
to read books,どくしょ　（読書する）
to speak,はなす　（話す）
to call,でんわ　（電話する）
to wait,まつ　（待つ）
to invite,しょうたい　（招待する）
to meet,あう　（会う）
company,かいしゃ　（会社）
to rest/to be absent,やすむ　（休む）
holiday,きゅうじつ　（休日）
to make/to produce,つくる　（作る）
composition,さくぶん　（作文）
to go/come back,かえる　（帰る）
to return to one's home country,きこく　（帰国する）
to know,しる　（知る）
